Party,Type,Counts,Prohibited act,Amount,Date
"Soil Works, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/24/2018
"Land View, Inc.",Fertilizer notice of violation,7,ORS 633.366(1)(e),,06/21/2018
"Land View, Inc.",Fertilizer notice of violation,4,ORS 633.366(1)(a),,06/21/2018
"Faust Bio-Agricultural Service, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/20/2018
Bertels B.V.,Fertilizer notice of violation,1,ORS 633.366(1)(a),,05/25/2018
Bertels B.V.,Fertilizer civil penalty,1,ORS 633.366(1)(c),$250,05/25/2018
"Easy Gardener Products, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,05/24/2018
"Easy Gardener Products, Inc.",Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,05/24/2018
Sensational Solutions LLC,Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,05/23/2018
Growth Products Ltd.,Fertilizer civil penalty,2,ORS 633.366(1)(e),$250,05/23/2018
Sensational Solutions LLC,Fertilizer notice of violation,1,ORS 633.366(1)(e),,05/23/2018
"Wal-Mart Stores, Inc.",Fertilizer civil penalty,2,ORS 633.366(1)(j),"$1,000",05/22/2018
"Marion Ag Service, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,05/22/2018
CHS Inc.,Fertilizer notice of violation,3,ORS 633.366(1)(e),,05/17/2018
"RX Green Solutions, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(a),$375,05/17/2018
CHS Inc.,Fertilizer notice of violation,4,ORS 633.366(1)(a),,05/17/2018
"CNI Agriminerals, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,05/17/2018
"Imagine Custom Landscape, Inc. (OG BIOWAR)",Fertilizer notice of violation,2,ORS 633.366(1)(e),,04/22/2018
"Earthfort, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(a),$375,04/22/2018
"Plant Revolution, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,04/15/2018
Ecological Laboratories Inc.,Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,03/18/2018
OG Tea Company,Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,03/16/2018
"Conscious Earthworks, L.L.C.",Fertilizer civil penalty,1,ORS 633.366(1)(a),$375,03/14/2018
"Mycorrhizal Applications, LLC",Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,03/14/2018
"Two Rivers Terminal, LLC",Fertilizer civil penalty,3,ORS 633.366(1)(e),"$7,500",02/28/2018
DL Wholesale Inc.,Fertilizer civil penalty,10,ORS 633.366(1)(e),"$1,250",02/28/2018
Helena Chemical Company,Fertilizer civil penalty,3,ORS 633.366(1)(e),$375,02/28/2018
"Two Rivers Terminal, LLC",Fertilizer civil penalty,16,ORS 633.366(1)(a),"$6,000",02/28/2018
Helena Chemical Company,Fertilizer civil penalty,4,ORS 633.366(1)(a),$500,02/28/2018
"Down to Earth Distributors, Inc.",Fertilizer civil penalty,4,ORS 633.366(1)(a),"$1,500",02/27/2018
"Hydrofarm, Inc.",Fertilizer civil penalty,3,ORS 633.366(1)(e),"$1,125",02/27/2018
